fullName,email,password,staffCategory,title,department
"Mr. Femi Ogunbiyi","femi.ogunbiyi@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Student Affairs Officer","Student Affairs Division"
"Mr. Haruna Musa","haruna.musa@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Internal Auditor","Internal Audit Unit"
"Mr. James Udo","james.udo@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Health Information Officer","Medical Centre"
"Mr. Lanre Akinrinade","lanre.akinrinade@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Executive Officer","Examinations and Records"
"Mr. Lekan Arogundade","lekan.arogundade@bouesti.edu.ng","Staff@12345","Academic Staff","Assistant Lecturer","Department of Biological Sciences"
"Mr. Nura Suleiman","nura.suleiman@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Planning Officer","Academic Planning Unit"
"Mr. Paul Edet","paul.edet@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Administrative Officer","SIWES and Industrial Liaison Unit"
"Mr. Segun Oladipo","segun.oladipo@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Protocol Officer","Protocol and Ceremonials Office"
"Mrs. Abiola Adegoke","abiola.adegoke@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Senior Administrative Officer","Registry Unit"
"Mrs. Bosede Falana","bosede.falana@bouesti.edu.ng","Staff@12345","Academic Staff","Assistant Lecturer","Department of Architecture"
"Mrs. Chioma Ezeobi","chioma.ezeobi@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Systems Analyst","ICT Directorate"
"Mrs. Esther Kolawole","esther.kolawole@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Works Superintendent","Works and Maintenance Unit"
"Mrs. Folake Ige","folake.ige@bouesti.edu.ng","Staff@12345","Academic Staff","Assistant Lecturer","Industrial Technology Education"
"Mrs. Grace Akinpelu","grace.akinpelu@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Procurement Officer","Procurement Unit"
"Mrs. Iyabo Adeoye","iyabo.adeoye@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Security Coordinator","Security Services"
"Mrs. Jumoke Adebanjo","jumoke.adebanjo@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer II","General Studies"
"Mrs. Kemi Ajetunmobi","kemi.ajetunmobi@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Admissions Officer","Admissions Office"
"Mrs. Modupe Ajayi","modupe.ajayi@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Administrative Officer","Human Resources Division"
"Mrs. Oluwakemi Bankole","oluwakemi.bankole@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Public Relations Officer","Alumni and Public Relations Office"
"Mrs. Rasheedat Olawale","rasheedat.olawale@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Transport Officer","Transport Unit"
"Prof. Bose Adediran","bose.adediran@bouesti.edu.ng","Staff@12345","Academic Staff","Professor","Counselling Psychology"
"Prof. Peter Olatunji","peter.olatunji@bouesti.edu.ng","Staff@12345","Academic Staff","Professor","Department of Physics"
